Package                       Version
rootpath                      0.1.1
rouge-score                   0.1.2
rpds-py                       0.13.1
rsa                           4.9
s3transfer                    0.9.0
sacrebleu                     1.5.0
safetensors                   0.4.0
scikit-learn                  1.3.2
scipy                         1.10.1
sentencepiece                 0.1.99
setuptools                    68.0.0
sigtools                      4.0.1
six                           1.16.0
smmap                         5.0.1
sniffio                       1.3.0
soupsieve                     2.5
sqlitedict                    2.1.0
stack-data                    0.6.2
starlette                     0.27.0
streamlit                     1.28.2
sympy                         1.12
synchronicity                 0.5.3
tabledata                     1.3.3
tabulate                      0.9.0
tblib                         3.0.0
tcolorpy                      0.1.4
tenacity                      8.2.3
termcolor                     2.3.0
texttable                     1.7.0
threadpoolctl                 3.2.0
tiktoken                      0.5.1
tokenizers                    0.15.0
toml                          0.10.2
tomli                         2.0.1
toolz                         0.12.0
torch                         2.1.1
torchvision                   0.16.1
tornado                       6.3.3
tox                           4.11.3
tqdm                          4.66.1
tqdm-multiprocess             0.0.11
traitlets                     5.13.0
transformers                  4.36.0.dev0
triton                        2.1.0
typepy                        1.3.2
typer                         0.9.0
types-certifi                 2021.10.8.3
types-toml                    0.10.8.7
typing_extensions             4.8.0
tzdata                        2023.3
tzlocal                       5.2
urllib3                       1.26.18
uvicorn                       0.24.0.post1
uvloop                        0.19.0
validators                    0.22.0
virtualenv                    20.24.7
vllm                          0.2.2
watchdog                      3.0.0
watchfiles                    0.21.0
wcwidth                       0.2.10
websockets                    12.0
wheel                         0.41.2
xformers                      0.0.22.post7
xxhash                        3.4.1
yarl                          1.9.3
zipp                          3.17.0
zstandard                     0.22.0
